file; time; heur; depth
j3010_8.sm;70;12;2
j3010_8.sm;70;15;2
j3010_8.sm;71;11;4
j3010_8.sm;72;2;2
j3010_8.sm;72;2;3
j3010_8.sm;73;2;1
j3010_8.sm;73;10;1
j3010_8.sm;73;11;1
j3010_8.sm;73;11;2
j3010_8.sm;73;11;3
j3010_8.sm;74;21;0
j3010_8.sm;74;21;1
j3010_8.sm;75;9;1
j3010_8.sm;75;9;2
j3010_8.sm;75;9;3
j3010_8.sm;75;9;4
j3010_8.sm;75;10;2
j3010_8.sm;75;10;3
j3010_8.sm;75;10;4
j3010_8.sm;75;15;0
j3010_8.sm;76;3;2
j3010_8.sm;78;3;1
j3010_8.sm;79;9;0
j3010_8.sm;79;10;0
j3010_8.sm;80;12;4
j3010_8.sm;81;3;3
j3010_8.sm;82;11;0
j3010_8.sm;82;12;3
j3010_8.sm;84;15;1
j3010_8.sm;85;3;0
j3010_8.sm;87;15;3
j3010_8.sm;95;15;4
j3010_9.sm;49; Optimal; Time
j3010_9.sm;49;3;2
j3010_9.sm;49;3;3
j3010_9.sm;49;3;4
j3010_9.sm;49;12;0
j3010_9.sm;49;12;1
j3010_9.sm;49;21;0
j3010_9.sm;49;21;1
j3010_9.sm;53;2;0
j3010_9.sm;53;2;1
j3010_9.sm;53;2;2
j3010_9.sm;53;2;3
j3010_9.sm;53;2;4
j3010_9.sm;53;11;0
j3010_9.sm;53;11;1
j3010_9.sm;53;11;4
j3010_9.sm;53;15;0
j3010_9.sm;53;16;0
j3010_9.sm;53;16;1
j3010_9.sm;53;16;2
j3010_9.sm;53;16;3
j3010_9.sm;53;16;4
j3010_9.sm;53;21;2
j3010_9.sm;53;21;3
j3010_9.sm;53;21;4
